,province,age_group,sex,population,gamma_adj,rho_adj,province_cat,age_group_cat,sex_cat,logit_rho_adj,log_population,Estimated Prevalence,Lower HPDI Prevalence,Upper HPDI Prevalence,Estimated Cases,Lower HPDI Cases,Upper HPDI Cases
0,Alberta,18-19,Female,49680.0,554.6022679101761,0.011163491705116267,0,0,0,-4.483880223021134,10.81335771660736,0.01042857109011219,0.010255036502136229,0.010600319890158283,518.1498625,471.0,561.0
1,Alberta,18-19,Male,52128.0,1884.5548470334747,0.03615244872301786,0,0,1,-3.2831884561224642,10.861457511401772,0.03645475902265634,0.03590073226456702,0.03702383829019385,1900.3225125,1810.0,1987.0
2,Alberta,20-24,Female,132465.0,1471.4065313469173,0.011107889112949966,0,1,0,-4.488929649814005,11.794073738571011,0.010366941511913207,0.010241684004556,0.010493463395618494,1373.4493875,1296.0,1444.0
3,Alberta,20-24,Male,143100.0,5125.843052128501,0.03582000735240042,0,1,1,-3.29277138965413,11.871298965544542,0.03624498134920009,0.03584608030783865,0.03663052012634411,5186.6040375,5033.0,5331.0
4,Alberta,25-29,Female,155695.0,1715.9956061549726,0.011021520319566927,0,2,0,-4.49682281746751,11.955654244268562,0.01022656475738321,0.01010427930097342,0.01034751393961505,1592.2627875,1513.0,1672.0
5,Alberta,25-29,Male,164995.0,5816.403911571215,0.03525200103985705,0,2,1,-3.3093446315265687,12.013670449393269,0.03576686099437551,0.03539235713104891,0.03614725909065418,5901.40075,5741.0,6062.0
6,Alberta,30-34,Female,174475.0,1908.0277322465877,0.010935823082083896,0,3,0,-4.504715298513368,12.069536743885353,0.01007771076161697,0.009960121819482966,0.010201119253080612,1758.3162875,1672.0,1840.0
7,Alberta,30-34,Male,180665.0,6254.037618407581,0.03461676372516858,0,3,1,-3.3281870930789235,12.10439976661887,0.03525950175649094,0.034880098343583625,0.035633125293487146,6370.0140375,6199.0,6534.0
8,Alberta,35-39,Female,174365.0,1888.4577812268374,0.01083048651522288,0,4,0,-4.514500732884148,12.068906082243076,0.009898400013007642,0.009780370038275046,0.010018042858356082,1725.889825,1639.0,1806.0
9,Alberta,35-39,Male,177085.0,5998.905404438767,0.03387585286409785,0,4,1,-3.350589886975915,12.08438512227307,0.03464781729019962,0.034273200772995574,0.03501813316278119,6136.2123625,5968.0,6297.0
10,Alberta,40-44,Female,153885.0,1643.9030187026933,0.010682672246825183,0,5,0,-4.528392124729691,11.943960849189923,0.009688852160889667,0.009569492474945264,0.009808549437319323,1490.911325,1411.0,1566.0
11,Alberta,40-44,Male,156610.0,5167.321952567412,0.03299484038418627,0,5,1,-3.377852633884888,11.96151391746048,0.03393228184162584,0.03355914013130277,0.034316466119692225,5313.9217125,5161.0,5465.0
12,Alberta,45-49,Female,139325.0,1457.0732343654709,0.010458088888322059,0,6,0,-4.549866384711209,11.844564612437738,0.009416026094515088,0.009301425081482073,0.009535655935845053,1312.0030875,1236.0,1381.0
13,Alberta,45-49,Male,145575.0,4638.778559975943,0.03186521421930924,0,6,1,-3.4138563676338287,11.888446696705321,0.03299954264818195,0.032630389551997575,0.03336847176343317,4803.9828625,4657.0,4944.0
14,Alberta,50-54,Female,131860.0,1334.8730617860383,0.010123411662263297,0,7,0,-4.582729549289557,11.78949603266729,0.009015910896925905,0.00890221477800028,0.009127922794443452,1188.87615,1122.0,1259.0
15,Alberta,50-54,Male,135925.0,4121.527433594472,0.03032207050648867,0,7,1,-3.465088137997593,11.81985854201412,0.03162929011551879,0.03127192148595449,0.031985767819902935,4299.6132375,4161.0,4431.0
16,Alberta,55-59,Female,142710.0,1374.546997150487,0.009631749682226102,0,8,0,-4.633011943895103,11.868569878094437,0.008416005571663127,0.008312463312793799,0.008521700190453034,1201.1269125,1129.0,1267.0
17,Alberta,55-59,Male,143390.0,4027.785820378126,0.02808972606442657,0,8,1,-3.5438596004324725,11.873323469709085,0.02956962215792313,0.02923513895146977,0.029897446950588234,4239.792075,4106.0,4373.0
18,Alberta,60-64,Female,128685.0,1149.9233827009439,0.00893595510510894,0,9,0,-4.70869612106899,11.765122836675175,0.007554608108652688,0.007453970504420734,0.007652105617776449,972.050725,907.0,1030.0
19,Alberta,60-64,Male,129330.0,3215.0312807389037,0.02485912998329006,0,9,1,-3.6693568538092065,11.77012255640929,0.026601187297741812,0.026286539004825384,0.026922988854678837,3440.50095,3320.0,3561.0
20,Alberta,65-69,Female,100680.0,802.0772205981565,0.007966599330533935,0,10,0,-4.824499058748353,11.519702449249252,0.00638764882139667,0.006293340502222637,0.006479578982027536,643.195525,591.0,691.0
21,Alberta,65-69,Male,97940.0,2032.4799784339689,0.020752297104696435,0,10,1,-3.8541276823732846,11.492110325256307,0.02255898454222068,0.022254758676842804,0.022869574460111675,2209.6199625,2114.0,2305.0
22,Alberta,70-74,Female,76875.0,506.80328618172024,0.006592563072282539,0,11,0,-5.015198682504882,11.249936005108818,0.004929550572424105,0.004845482764104211,0.0050147872401237305,378.9147125,339.0,416.0
23,Alberta,70-74,Male,71070.0,1123.6757250829012,0.01581083052037289,0,11,1,-4.131122942807056,11.171420585820941,0.01747439865340502,0.01719409017891073,0.01776216329325965,1241.9716375,1167.0,1310.0
24,Alberta,75-79,Female,52095.0,248.71094937391905,0.004774180811477475,0,12,0,-5.339747263957547,10.860824253846284,0.0032682651040318498,0.0031910410918063294,0.003344838055865672,170.2132625,144.0,195.0
