province,sex,age,population,mortality_rate,asd_prevalence,asd_prevalence_se,hazard_ratio,se,pop_survival
Newfoundland and Labrador,Male,18,2835.0,0.4,0.039625,0.0104,2.090000000048656,0.171,0.9996
Newfoundland and Labrador,Male,19,2835.0,0.4,,,2.090000000048656,0.171,0.9996
Newfoundland and Labrador,Male,20,3013.0,0.4,,,2.090000000048656,0.171,0.9996
Newfoundland and Labrador,Male,21,3013.0,0.4,,,2.090000000048656,0.171,0.9996
Newfoundland and Labrador,Male,22,3013.0,0.4,,,2.090000000048656,0.171,0.9996
Newfoundland and Labrador,Male,23,3013.0,0.4,,,2.090000000048656,0.171,0.9996
Newfoundland and Labrador,Male,24,3013.0,0.4,,,2.090000000048656,0.171,0.9996
Newfoundland and Labrador,Male,25,2961.0,0.7,,,2.090000000048656,0.171,0.9993
Newfoundland and Labrador,Male,26,2961.0,0.7,,,2.090000000048656,0.171,0.9993
Newfoundland and Labrador,Male,27,2961.0,0.7,,,2.090000000048656,0.171,0.9993
Newfoundland and Labrador,Male,28,2961.0,0.7,,,2.090000000048656,0.171,0.9993
Newfoundland and Labrador,Male,29,2961.0,0.7,,,2.090000000048656,0.171,0.9993
Newfoundland and Labrador,Male,30,2888.0,1.7,,,2.090000000048656,0.171,0.9983
Newfoundland and Labrador,Male,31,2888.0,1.7,,,2.090000000048656,0.171,0.9983
Newfoundland and Labrador,Male,32,2888.0,1.7,,,2.090000000048656,0.171,0.9983
Newfoundland and Labrador,Male,33,2888.0,1.7,,,2.090000000048656,0.171,0.9983
Newfoundland and Labrador,Male,34,2888.0,1.7,,,2.090000000048656,0.171,0.9983
Newfoundland and Labrador,Male,35,2935.0,1.7,,,2.090000000048656,0.171,0.9983
Newfoundland and Labrador,Male,36,2935.0,1.7,,,2.090000000048656,0.171,0.9983
Newfoundland and Labrador,Male,37,2935.0,1.7,,,2.090000000048656,0.171,0.9983
Newfoundland and Labrador,Male,38,2935.0,1.7,,,2.090000000048656,0.171,0.9983
Newfoundland and Labrador,Male,39,2935.0,1.7,,,2.090000000048656,0.171,0.9983
Newfoundland and Labrador,Male,40,3104.0,1.9,,,2.090000000048656,0.171,0.9981
Newfoundland and Labrador,Male,41,3104.0,1.9,,,2.090000000048656,0.171,0.9981
Newfoundland and Labrador,Male,42,3104.0,1.9,,,2.090000000048656,0.171,0.9981
Newfoundland and Labrador,Male,43,3104.0,1.9,,,2.090000000048656,0.171,0.9981
Newfoundland and Labrador,Male,44,3104.0,1.9,,,2.090000000048656,0.171,0.9981
Newfoundland and Labrador,Male,45,3572.0,2.4,,,2.090000000048656,0.171,0.9976
Newfoundland and Labrador,Male,46,3572.0,2.4,,,2.090000000048656,0.171,0.9976
Newfoundland and Labrador,Male,47,3572.0,2.4,,,2.090000000048656,0.171,0.9976
Newfoundland and Labrador,Male,48,3572.0,2.4,,,2.090000000048656,0.171,0.9976
Newfoundland and Labrador,Male,49,3572.0,2.4,,,2.090000000048656,0.171,0.9976
Newfoundland and Labrador,Male,50,4027.0,4.6,,,2.090000000048656,0.171,0.9954
Newfoundland and Labrador,Male,51,4027.0,4.6,,,2.090000000048656,0.171,0.9954
Newfoundland and Labrador,Male,52,4027.0,4.6,,,2.090000000048656,0.171,0.9954
Newfoundland and Labrador,Male,53,4027.0,4.6,,,2.090000000048656,0.171,0.9954
Newfoundland and Labrador,Male,54,4027.0,4.6,,,2.090000000048656,0.171,0.9954
