Geography,Sex,Age_group,Persons
Newfoundland and Labrador,Male,0 to 4,10929
Newfoundland and Labrador,Male,5 to 9,12459
Newfoundland and Labrador,Male,10 to 14,13331
Newfoundland and Labrador,Male,15 to 19,14174
Newfoundland and Labrador,Male,20 to 24,15066
Newfoundland and Labrador,Male,25 to 29,14804
Newfoundland and Labrador,Male,30 to 34,14441
Newfoundland and Labrador,Male,35 to 39,14676
Newfoundland and Labrador,Male,40 to 44,15519
Newfoundland and Labrador,Male,45 to 49,17862
Newfoundland and Labrador,Male,50 to 54,20133
Newfoundland and Labrador,Male,55 to 59,21472
Newfoundland and Labrador,Male,60 to 64,20770
Newfoundland and Labrador,Male,65 to 69,19303
Newfoundland and Labrador,Male,70 to 74,15432
Newfoundland and Labrador,Male,75 to 79,9378
Newfoundland and Labrador,Male,80 to 84,5395
Newfoundland and Labrador,Male,85 to 89,2727
Newfoundland and Labrador,Male,90 to 94,865
Newfoundland and Labrador,Male,95 to 99,172
Newfoundland and Labrador,Male,100 and over,21
Newfoundland and Labrador,Female,0 to 4,10200
Newfoundland and Labrador,Female,5 to 9,11678
Newfoundland and Labrador,Female,10 to 14,12662
Newfoundland and Labrador,Female,15 to 19,13213
Newfoundland and Labrador,Female,20 to 24,13654
Newfoundland and Labrador,Female,25 to 29,14009
Newfoundland and Labrador,Female,30 to 34,14484
Newfoundland and Labrador,Female,35 to 39,15885
Newfoundland and Labrador,Female,40 to 44,16599
Newfoundland and Labrador,Female,45 to 49,18939
Newfoundland and Labrador,Female,50 to 54,20957
Newfoundland and Labrador,Female,55 to 59,21760
Newfoundland and Labrador,Female,60 to 64,21530
Newfoundland and Labrador,Female,65 to 69,19867
Newfoundland and Labrador,Female,70 to 74,16066
Newfoundland and Labrador,Female,75 to 79,10009
Newfoundland and Labrador,Female,80 to 84,6692
Newfoundland and Labrador,Female,85 to 89,3844
Newfoundland and Labrador,Female,90 to 94,1812
Newfoundland and Labrador,Female,95 to 99,535
Newfoundland and Labrador,Female,100 and over,103
Prince Edward Island,Male,0 to 4,3859
Prince Edward Island,Male,5 to 9,4161
Prince Edward Island,Male,10 to 14,4433
Prince Edward Island,Male,15 to 19,4715
Prince Edward Island,Male,20 to 24,6028
Prince Edward Island,Male,25 to 29,5171
Prince Edward Island,Male,30 to 34,4367
Prince Edward Island,Male,35 to 39,4420
Prince Edward Island,Male,40 to 44,4596
Prince Edward Island,Male,45 to 49,5098
Prince Edward Island,Male,50 to 54,5267
Prince Edward Island,Male,55 to 59,5778
Prince Edward Island,Male,60 to 64,5440
Prince Edward Island,Male,65 to 69,4840
Prince Edward Island,Male,70 to 74,4204
Prince Edward Island,Male,75 to 79,2449
Prince Edward Island,Male,80 to 84,1491
Prince Edward Island,Male,85 to 89,843
Prince Edward Island,Male,90 to 94,308
Prince Edward Island,Male,95 to 99,62
Prince Edward Island,Male,100 and over,14
Prince Edward Island,Female,0 to 4,3433
Prince Edward Island,Female,5 to 9,4158
Prince Edward Island,Female,10 to 14,4338
Prince Edward Island,Female,15 to 19,4511
Prince Edward Island,Female,20 to 24,5159
Prince Edward Island,Female,25 to 29,4677
Prince Edward Island,Female,30 to 34,4507
Prince Edward Island,Female,35 to 39,4817
Prince Edward Island,Female,40 to 44,4959
Prince Edward Island,Female,45 to 49,5225
Prince Edward Island,Female,50 to 54,5312
Prince Edward Island,Female,55 to 59,6223
Prince Edward Island,Female,60 to 64,5791
Prince Edward Island,Female,65 to 69,5175
Prince Edward Island,Female,70 to 74,4438
Prince Edward Island,Female,75 to 79,2887
Prince Edward Island,Female,80 to 84,2071
Prince Edward Island,Female,85 to 89,1325
Prince Edward Island,Female,90 to 94,625
Prince Edward Island,Female,95 to 99,202
Prince Edward Island,Female,100 and over,42
Nova Scotia,Male,0 to 4,21884
Nova Scotia,Male,5 to 9,23665
Nova Scotia,Male,10 to 14,24229
Nova Scotia,Male,15 to 19,26249
Nova Scotia,Male,20 to 24,32044
Nova Scotia,Male,25 to 29,31628
Nova Scotia,Male,30 to 34,29331
Nova Scotia,Male,35 to 39,27828
Nova Scotia,Male,40 to 44,27134
Nova Scotia,Male,45 to 49,29831
Nova Scotia,Male,50 to 54,33093
Nova Scotia,Male,55 to 59,38984
Nova Scotia,Male,60 to 64,36551
Nova Scotia,Male,65 to 69,31405
Nova Scotia,Male,70 to 74,26400
Nova Scotia,Male,75 to 79,16565
Nova Scotia,Male,80 to 84,10405
Nova Scotia,Male,85 to 89,5285
Nova Scotia,Male,90 to 94,1897
Nova Scotia,Male,95 to 99,422
Nova Scotia,Male,100 and over,63
Nova Scotia,Female,0 to 4,20600
Nova Scotia,Female,5 to 9,22599
Nova Scotia,Female,10 to 14,22926
Nova Scotia,Female,15 to 19,25200
Nova Scotia,Female,20 to 24,29692
Nova Scotia,Female,25 to 29,30930
Nova Scotia,Female,30 to 34,29884
Nova Scotia,Female,35 to 39,29715
Nova Scotia,Female,40 to 44,29391
Nova Scotia,Female,45 to 49,31948
Nova Scotia,Female,50 to 54,34511
Nova Scotia,Female,55 to 59,40189
Nova Scotia,Female,60 to 64,38458
Nova Scotia,Female,65 to 69,33521
Nova Scotia,Female,70 to 74,28608
Nova Scotia,Female,75 to 79,19355
Nova Scotia,Female,80 to 84,13126
Nova Scotia,Female,85 to 89,8629
Nova Scotia,Female,90 to 94,4334
Nova Scotia,Female,95 to 99,1449
Nova Scotia,Female,100 and over,285
New Brunswick,Male,0 to 4,17287
New Brunswick,Male,5 to 9,19532
New Brunswick,Male,10 to 14,20294
New Brunswick,Male,15 to 19,20732
New Brunswick,Male,20 to 24,22725
New Brunswick,Male,25 to 29,22537
New Brunswick,Male,30 to 34,22114
New Brunswick,Male,35 to 39,23054
New Brunswick,Male,40 to 44,23910
New Brunswick,Male,45 to 49,26070
New Brunswick,Male,50 to 54,27959
New Brunswick,Male,55 to 59,31473
New Brunswick,Male,60 to 64,30278
New Brunswick,Male,65 to 69,26344
New Brunswick,Male,70 to 74,21659
New Brunswick,Male,75 to 79,13821
New Brunswick,Male,80 to 84,8313
New Brunswick,Male,85 to 89,4523
New Brunswick,Male,90 to 94,1514
New Brunswick,Male,95 to 99,360
New Brunswick,Male,100 and over,44
New Brunswick,Female,0 to 4,16732
New Brunswick,Female,5 to 9,18765
New Brunswick,Female,10 to 14,19208
New Brunswick,Female,15 to 19,20363
New Brunswick,Female,20 to 24,20486
New Brunswick,Female,25 to 29,21316
New Brunswick,Female,30 to 34,21869
New Brunswick,Female,35 to 39,23496
New Brunswick,Female,40 to 44,24364
New Brunswick,Female,45 to 49,26052
New Brunswick,Female,50 to 54,27972
New Brunswick,Female,55 to 59,31971
New Brunswick,Female,60 to 64,31086
New Brunswick,Female,65 to 69,27812
New Brunswick,Female,70 to 74,22987
New Brunswick,Female,75 to 79,15325
New Brunswick,Female,80 to 84,10510
New Brunswick,Female,85 to 89,7061
New Brunswick,Female,90 to 94,3698
New Brunswick,Female,95 to 99,1313
New Brunswick,Female,100 and over,199
Quebec,Male,0 to 4,222637
Quebec,Male,5 to 9,237574
Quebec,Male,10 to 14,225608
Quebec,Male,15 to 19,217378
Quebec,Male,20 to 24,260455
Quebec,Male,25 to 29,292412
Quebec,Male,30 to 34,274923
Quebec,Male,35 to 39,295650
Quebec,Male,40 to 44,288690
Quebec,Male,45 to 49,265254
Quebec,Male,50 to 54,285033
Quebec,Male,55 to 59,322419
Quebec,Male,60 to 64,303636
Quebec,Male,65 to 69,253157
Quebec,Male,70 to 74,206356
Quebec,Male,75 to 79,139091
Quebec,Male,80 to 84,84109
Quebec,Male,85 to 89,49472
Quebec,Male,90 to 94,18648
Quebec,Male,95 to 99,3924
Quebec,Male,100 and over,385
Quebec,Female,0 to 4,212658
Quebec,Female,5 to 9,227828
Quebec,Female,10 to 14,217545
Quebec,Female,15 to 19,208170
Quebec,Female,20 to 24,242707
Quebec,Female,25 to 29,272152
Quebec,Female,30 to 34,264213
Quebec,Female,35 to 39,286415
Quebec,Female,40 to 44,279003
Quebec,Female,45 to 49,257442
Quebec,Female,50 to 54,280525
Quebec,Female,55 to 59,320078
Quebec,Female,60 to 64,306824
Quebec,Female,65 to 69,260467
Quebec,Female,70 to 74,220057
Quebec,Female,75 to 79,157650
Quebec,Female,80 to 84,108411
Quebec,Female,85 to 89,78159
